zip,lat,lon,state,city
00501,40.9223,-72.6371,NY,Holtsville
00544,40.9223,-72.6371,NY,Holtsville
01001,42.1405,-72.7887,MA,Agawam
01002,42.3671,-72.4646,MA,Amherst
01003,42.3696,-72.6360,MA,Amherst
01004,42.3845,-72.5132,MA,Amherst
01005,42.3292,-72.1395,MA,Barre
01007,42.2803,-72.4021,MA,Belchertown
01008,42.1778,-72.9584,MA,Blandford
01009,42.2061,-72.3405,MA,Bondsville
01010,42.1086,-72.2045,MA,Brimfield
01011,42.2943,-72.9528,MA,Chester
01012,42.3923,-72.8256,MA,Chesterfield
01013,42.1615,-72.6673,MA,Chicopee
01014,42.1707,-72.6048,MA,Chicopee
01020,42.1775,-72.5626,MA,Chicopee
01021,42.1707,-72.6048,MA,Chicopee
01022,42.1934,-72.5544,MA,Chicopee
01026,42.4286,-72.9098,MA,Cummington
01027,42.3683,-72.7688,MA,Easthampton
01028,42.0620,-72.4987,MA,East Longmeadow
01029,42.1909,-73.0517,MA,East Otis
01030,42.1893,-72.7977,MA,Feeding Hills
01031,42.3526,-72.2057,MA,Gilbertville
01032,42.4438,-72.8194,MA,Goshen
01033,42.2623,-72.5041,MA,Granby
01034,42.1127,-72.9520,MA,Granville
01035,42.3568,-72.5766,MA,Hadley
01036,42.0676,-72.4175,MA,Hampden
01037,42.3479,-72.2253,MA,Hardwick
01038,42.3873,-72.6431,MA,Hatfield
01039,42.3564,-72.6821,MA,Haydenville
01040,42.1983,-72.6421,MA,Holyoke
01041,42.1707,-72.6048,MA,Holyoke
01050,42.3134,-72.9037,MA,Huntington
01053,42.3538,-72.7044,MA,Leeds
01054,42.4747,-72.4675,MA,Leverett
01056,42.1733,-72.6270,MA,Ludlow
01057,42.0953,-72.2821,MA,Monson
01059,42.3696,-72.6360,MA,North Amherst
01060,42.4152,-72.7693,MA,Northampton
01061,42.3696,-72.6360,MA,Northampton
01062,42.3288,-72.8452,MA,Florence
01063,42.3179,-72.6402,MA,Northampton
01066,42.4067,-72.6339,MA,North Hatfield
01068,42.3461,-72.0588,MA,Oakham
01069,42.1761,-72.3146,MA,Palmer
01070,42.4490,-72.9584,MA,Plainfield
01071,42.1774,-72.8646,MA,Russell
01072,42.4716,-72.4402,MA,Shutesbury
01073,42.2300,-72.7285,MA,Southampton
01074,42.3760,-72.1494,MA,South Barre
01075,42.2498,-72.5815,MA,South Hadley
01077,42.0666,-72.5412,MA,Southwick
01079,42.1929,-72.3296,MA,Thorndike
01080,42.1798,-72.5178,MA,Three Rivers
01081,42.0619,-72.2136,MA,Wales
01082,42.3775,-72.5485,MA,Ware
01083,42.2040,-72.1994,MA,Warren
01084,42.3903,-72.8709,MA,West Chesterfield
01085,42.1487,-72.5019,MA,Westfield
01086,42.1734,-72.8480,MA,Westfield
01088,42.3906,-72.6469,MA,West Hatfield
01089,42.1258,-72.6453,MA,West Springfield
01090,42.1707,-72.6048,MA,West Springfield
01092,42.2029,-72.2290,MA,West Warren
01093,42.4427,-72.6525,MA,Whately
01094,42.3582,-72.1408,MA,Wheelwright
01095,42.1260,-72.4900,MA,Wilbraham
01096,42.4131,-72.8217,MA,Williamsburg
01097,42.1617,-72.8459,MA,Woronoco
01098,42.4049,-72.8961,MA,Worthington
01101,42.1707,-72.6048,MA,Springfield
01102,42.1707,-72.6048,MA,Springfield
01103,42.1030,-72.5908,MA,Springfield
01104,42.1286,-72.5680,MA,Springfield
01105,42.0998,-72.5777,MA,Springfield
01106,42.0492,-72.5679,MA,Longmeadow
01107,42.1262,-72.5867,MA,Springfield
01108,42.0806,-72.5581,MA,Springfield
01109,42.1193,-72.5490,MA,Springfield
01111,42.1707,-72.6048,MA,Springfield
01114,42.1707,-72.6048,MA,Springfield
01115,42.1029,-72.5916,MA,Springfield
01116,42.1707,-72.6048,MA,Longmeadow
01118,42.0939,-72.5232,MA,Springfield
01119,42.1249,-72.5267,MA,Springfield
01128,42.0946,-72.4872,MA,Springfield
01129,42.1245,-72.4895,MA,Springfield
01133,42.1707,-72.6048,MA,Springfield
01138,42.1707,-72.6048,MA,Springfield
01139,42.1707,-72.6048,MA,Springfield
01144,42.1018,-72.5915,MA,Springfield
01151,42.1506,-72.5128,MA,Indian Orchard
01152,42.1707,-72.6048,MA,Springfield
01195,42.1000,-72.5800,MA,Springfield Bmc
01199,42.1199,-72.6050,MA,Springfield
01201,42.4795,-73.2481,MA,Pittsfield
01202,42.3929,-73.2285,MA,Pittsfield
01203,42.3929,-73.2285,MA,Pittsfield
01220,42.3856,-73.1722,MA,Adams
01222,42.1860,-73.3187,MA,Ashley Falls
01223,42.3418,-73.1035,MA,Becket
01224,42.3929,-73.2285,MA,Berkshire
01225,42.4821,-73.1275,MA,Cheshire
01226,42.4703,-73.0889,MA,Dalton
01227,42.5161,-73.0929,MA,Dalton
01229,42.2793,-73.3435,MA,Glendale
01230,42.2994,-73.2666,MA,Great Barrington
01235,42.2924,-73.2216,MA,Hinsdale
01236,42.2913,-73.3588,MA,Housatonic
01237,42.4876,-73.2350,MA,Lanesboro
01238,42.3699,-73.2675,MA,Lee
01240,42.4592,-73.2199,MA,Lenox
01242,42.3386,-73.2509,MA,Lenox Dale
01243,42.3561,-73.0104,MA,Middlefield
01244,42.1228,-73.2540,MA,Mill River
01245,42.1867,-73.2065,MA,Monterey
01247,42.4270,-73.1863,MA,North Adams
01252,42.1986,-73.4462,MA,North Egremont
01253,42.2132,-73.0904,MA,Otis
01254,42.2331,-73.2384,MA,Richmond
01255,42.1490,-73.1486,MA,Sandisfield
01256,42.3673,-73.1285,MA,Savoy
01257,42.3146,-73.2677,MA,Sheffield
01258,42.1281,-73.3609,MA,South Egremont
01259,42.1987,-73.2785,MA,Southfield
01260,42.2866,-73.3133,MA,South Lee
01262,42.3046,-73.3300,MA,Stockbridge
01263,42.3929,-73.2285,MA,Stockbridge
01264,42.2200,-73.1979,MA,Tyringham
01266,42.3605,-73.2654,MA,West Stockbridge
01267,42.6421,-73.2577,MA,Williamstown
01270,42.4437,-73.1161,MA,Windsor
01301,42.6013,-72.6236,MA,Greenfield
